#Wave	#Intensity
1318.707031	303.393494
1317.582031	314.799255
1316.455078	273.689209
1315.328125	278.200592
1314.201172	323.748932
1313.072266	348.765259
1311.945313	287.166687
1310.816406	305.344482
1309.689453	380.472656
1308.560547	350.791779
1307.431641	316.566650
1306.304688	268.691589
1305.175781	257.259918
1304.046875	350.538788
1302.916016	320.889923
1301.787109	327.658234
1300.658203	323.049103
1299.527344	311.617859
1298.398438	281.997345
1297.267578	304.684052
1296.136719	270.528748
1295.005859	288.663391
1293.875000	340.879395
1292.744141	343.089905
1291.613281	277.148346
1290.480469	290.726013
1289.349609	302.027863
1288.216797	311.055145
1287.085938	333.699524
1285.953125	297.324677
1284.820313	279.116913
1283.687500	308.561218
1282.554688	299.431641
1281.421875	294.841400
1280.289063	294.788025
1279.154297	310.604919
1278.021484	276.546967
1276.886719	333.156067
1275.753906	310.436096
1274.619141	294.520996
1273.484375	314.853821
1272.349609	319.326172
1271.214844	346.440002
1270.078125	312.418610
1268.943359	258.038116
1267.808594	291.937500
1266.671875	325.824554
1265.535156	312.191864
1264.400391	282.731110
1263.263672	303.032715
1262.126953	273.584320
1260.990234	280.316467
1259.853516	305.127777
1258.714844	255.356842
1257.578125	305.016876
1256.441406	280.112701
1255.302734	311.681641
1254.164063	343.239075
1253.025391	313.825989
1251.886719	316.026245
1250.748047	315.968719
1249.609375	342.989319
1248.470703	275.243927
1247.332031	313.540497
1246.191406	295.441193
1245.052734	329.210358
1243.912109	293.079102
1242.771484	290.771667
1241.630859	290.718658
1240.490234	324.464020
1239.349609	313.140808
1238.208984	355.879303
1237.068359	288.254730
1235.925781	319.724243
1234.785156	294.903076
1233.642578	272.341675
1232.501953	303.796814
1231.359375	330.740601
1230.216797	296.937347
1229.074219	260.897278
1227.931641	260.849640
1226.787109	294.526398
1225.644531	323.695068
1224.500000	316.893494
1223.357422	283.129669
1222.212891	321.270966
1221.068359	269.548706
1219.925781	323.399323
1218.781250	354.776031
1217.634766	267.155853
1216.490234	280.574554
1215.345703	289.499939
1214.199219	323.103607
1213.054688	266.960358
1211.908203	316.256439
1210.761719	304.985840
1209.617188	280.266510
1208.470703	277.973450
1207.322266	302.576965
1206.175781	302.521515
1205.029297	264.377747
1203.882813	300.170532
1202.734375	286.677521
1201.585938	329.170837
1200.439453	291.050079
1199.291016	326.811676
1198.142578	277.515137
1196.994141	268.513763
1195.845703	293.073730
1194.695313	290.783142
1193.546875	304.148071
1192.398438	299.620270
1191.248047	317.449738
1190.097656	319.626587
1188.947266	306.159424
1187.798828	294.931519
1186.648438	321.684357
1185.496094	303.757172
1184.345703	326.032318
1183.195313	339.368500
1182.042969	310.286499
1180.892578	305.765686
1179.740234	323.561096
1178.587891	352.505157
1177.435547	352.440277
1176.283203	298.850037
1175.130859	343.391296
1173.978516	338.869263
1172.826172	287.540039
1171.671875	332.058746
1170.519531	318.628540
1169.365234	331.936401
1168.210938	347.466705
1167.056641	313.998566
1165.902344	325.073334
1164.748047	382.892517
1163.593750	316.050659
1162.439453	298.189972
1161.283203	313.709198
1160.128906	351.467438
1158.972656	338.058197
1157.818359	313.535583
1156.662109	362.389160
1155.505859	337.871063
1154.349609	291.137756
1153.191406	306.638092
1152.035156	308.803070
1150.878906	359.833496
1149.720703	315.351349
1148.564453	326.394958
1147.406250	350.754242
1146.248047	352.908966
1145.089844	348.405426
1143.931641	306.185089
1142.773438	299.473511
1141.615234	365.955475
1140.455078	312.667755
1139.296875	321.478271
1138.136719	354.669006
1136.976563	288.115234
1135.818359	343.458435
1134.658203	387.703857
1133.498047	327.825958
1132.335938	358.770081
1131.175781	394.131165
1130.015625	389.630524
1128.853516	409.478943
1127.693359	369.569244
1126.531250	345.162384
1125.369141	360.583588
1124.207031	380.422577
1123.044922	378.140686
1121.882813	360.383026
