#Wave	#Intensity
1318.707031	976.333923
1317.582031	1047.049683
1316.455078	1028.615234
1315.328125	969.141418
1314.201172	984.926331
1313.072266	971.071899
1311.945313	1014.199829
1310.816406	1009.459717
1309.689453	1029.782227
1308.560547	1034.152344
1307.431641	1020.301208
1306.304688	988.238525
1305.175781	949.357483
1304.046875	1010.644287
1302.916016	1030.944214
1301.787109	1051.236816
1300.658203	955.497375
1299.527344	989.443604
1298.398438	1032.474243
1297.267578	991.360046
1296.136719	947.987244
1295.005859	975.091248
1293.875000	970.369995
1292.744141	977.010986
1291.613281	1001.823120
1290.480469	1012.998474
1289.349609	985.564636
1288.216797	946.788269
1287.085938	969.317627
1285.953125	1003.187073
1284.820313	980.313049
1283.687500	1011.899231
1282.554688	968.616028
1281.421875	920.812378
1280.289063	1004.546814
1279.154297	1015.700806
1278.021484	986.048645
1276.886719	974.538147
1275.753906	956.233826
1274.619141	926.608398
1273.484375	917.379822
1272.349609	892.301453
1271.214844	921.575684
1270.078125	948.575378
1268.943359	896.342896
1267.808594	961.809570
1266.671875	907.330933
1265.535156	990.869812
1264.400391	949.976563
1263.263672	897.790955
1262.126953	906.671997
1260.990234	949.458984
1259.853516	947.026245
1258.714844	964.932495
1257.578125	930.866272
1256.441406	892.294495
1255.302734	989.250427
1254.164063	905.518860
1253.025391	916.642822
1251.886719	977.424011
1250.748047	963.704590
1249.609375	952.246643
1248.470703	875.365967
1247.332031	1015.059143
1246.191406	922.407959
1245.052734	917.730225
1243.912109	976.178894
1242.771484	996.287415
1241.630859	917.228699
1240.490234	926.074341
1239.349609	968.708984
1238.208984	916.727112
1237.068359	968.355713
1235.925781	902.883240
1234.785156	936.486084
1233.642578	943.067444
1232.501953	956.397400
1231.359375	895.474548
1230.216797	861.568176
1229.074219	944.628113
1227.931641	998.424500
1226.787109	942.034790
1225.644531	944.110596
1224.500000	896.741150
1223.357422	925.789063
1222.212891	966.059509
1221.068359	896.249512
1219.925781	909.560608
1218.781250	956.548035
1217.634766	987.803162
1216.490234	929.262939
1215.345703	852.790588
1214.199219	922.191528
1213.054688	906.319153
1211.908203	901.667297
1210.761719	903.744751
1209.617188	914.789917
1208.470703	952.731628
1207.322266	957.039673
1206.175781	968.068848
1205.029297	943.246033
1203.882813	891.551331
1202.734375	933.941589
1201.585938	944.966614
1200.439453	935.837952
1199.291016	879.705383
1198.142578	960.112915
1196.994141	935.322937
1195.845703	921.728088
1194.695313	919.322144
1193.546875	894.553162
1192.398438	914.512634
1191.248047	909.873596
1190.097656	880.649475
1188.947266	992.224731
1187.798828	851.279663
